fecha,dia,primero,segundo,yearprimera,yearsegundo
1962-01-01,1,17.6,17.1,1962,2007
2003-01-02,2,16.4,16.2,2003,1960
2018-01-03,3,18.3,17.4,2018,2015
2018-01-04,4,17.7,16.6,2018,2013
2013-01-05,5,18.1,15.8,2013,1982
2008-01-06,6,18.5,17.7,2008,2013
2011-01-07,7,17.5,17.2,2011,1976
2011-01-08,8,18.5,17.3,2011,2016
2004-01-09,9,17.8,17.1,2004,2015
1974-01-10,10,18,17.1,1974,2015
2004-01-11,11,17.4,16.8,2004,1974
1994-01-12,12,17.8,17,1994,1950
1962-01-13,13,17.4,17.4,1962,2004
1955-01-14,14,16.2,15.5,1955,2011
1974-01-15,15,15.8,15.7,1974,1950
1955-01-16,16,16,15.9,1955,1951
1955-01-17,17,17.2,15.4,1955,1951
2007-01-18,18,18.2,17.6,2007,1969
2007-01-19,19,18.3,17.4,2007,1969
2007-01-20,20,19.3,16.5,2007,1951
2008-01-21,21,18.7,17.4,2008,2018
1966-01-22,22,16.4,16.4,1966,2008
2009-01-23,23,18.8,17.4,2009,1971
1969-01-24,24,17.4,16.2,1969,1993
1995-01-25,25,18.8,17,1995,1990
2002-01-26,26,17,17,2002,2004
1980-01-27,27,17.4,17,1980,1983
2002-01-28,28,18.8,16.2,2002,2008
2009-01-29,29,17.1,16.4,2009,1975
1975-01-30,30,17.4,17.2,1975,1995
2013-01-31,31,18.4,17.6,2013,1975
2013-02-01,1,17.6,17.2,2013,1985
1985-02-02,2,19.2,17.2,1985,2000
1964-02-03,3,18.6,17,1964,1992
1980-02-04,4,18.2,17,1980,1995
1995-02-05,5,19.2,17.9,1995,2011
2014-02-06,6,21.1,20.4,2014,1995
1985-02-07,7,17.2,17,1985,2011
1987-02-08,8,19.6,17.7,1987,2016
1979-02-09,9,20,18,1979,2002
1958-02-10,10,18.4,17.4,1958,1961
1961-02-11,11,19.2,19,1961,2002
1961-02-12,12,20.6,19.8,1961,2001
1958-02-13,13,22.2,19.8,1958,2006
2014-02-14,14,23,19.4,2014,1995
1995-02-15,15,19,18.8,1995,1989
1958-02-16,16,21.2,21,1958,1998
1995-02-17,17,21.2,20,1995,1998
1989-02-18,18,21.6,21.2,1989,1978
1989-02-19,19,20.4,19.9,1989,1950
1967-02-20,20,19.8,19.2,1967,1977
1950-02-21,21,19.8,19,1950,1967
2019-02-22,22,20.8,19.4,2019,1950
2019-02-23,23,21.5,20.4,2019,1990
1990-02-24,24,20.6,19.6,1990,1995
2011-02-25,25,21.9,20.4,2011,1990
2019-02-26,26,19.9,19.2,2019,1991
2008-02-27,27,20.9,20,2008,1990
1990-02-28,28,19.4,19,1990,1967
2012-02-29,29,22.4,19.8,2012,1952
1952-03-01,1,22.6,21.8,1952,1987
1997-03-02,2,23.4,22.3,1997,2008
1997-03-03,3,24.4,24.2,1997,1977
2007-03-04,4,26.4,24.2,2007,1977
1960-03-05,5,23.8,22.4,1960,1997
1997-03-06,6,21.4,21.2,1997,1952
2015-03-07,7,23.9,22.6,2015,1952
2000-03-08,8,23.8,23.5,2000,2017
2017-03-09,9,27.7,25.2,2017,2000
2017-03-10,10,28.8,25,2017,1978
1981-03-11,11,24.7,24,1981,1978
1990-03-12,12,24.8,23.7,1990,2015
2012-03-13,13,26.3,24,2012,1997
2012-03-14,14,25.6,22.6,2012,2006
2012-03-15,15,24.6,23.4,2012,1957
1977-03-16,16,24.6,24.1,1977,2009
1997-03-17,17,26.6,24.3,1997,2014
1997-03-18,18,24.8,24,1997,1993
1957-03-19,19,24.4,24,1957,2009
1992-03-20,20,27.2,25.6,1992,2002
2002-03-21,21,27.2,25.8,2002,1990
1990-03-22,22,27.2,25.8,1990,2002
2001-03-23,23,27.6,26.6,2001,1952
1994-03-24,24,26.4,25.6,1994,1955
1981-03-25,25,26,25.6,1981,1994
1989-03-26,26,25.8,25.2,1989,2006
1989-03-27,27,25.6,23.3,1989,2009
1978-03-28,28,24.8,23.4,1978,1976
2012-03-29,29,25.1,23.6,2012,1994
2012-03-30,30,25.4,24.7,2012,2016
2012-03-31,31,24.9,24.2,2012,1993
2011-04-01,1,25.2,24.2,2011,1980
1985-04-02,2,25.4,24.8,1985,1995
1953-04-03,3,26.6,26.4,1953,1985
1999-04-04,4,26.2,24.6,1999,1955
1973-04-05,5,27.8,27.4,1973,1999
1973-04-06,6,29.4,26.6,1973,2014
2011-04-07,7,26.9,26.4,2011,2014
2011-04-08,8,30.6,28,2011,1993
2011-04-09,9,30.7,24.8,2011,1995
2017-04-10,10,27,24.8,2017,2014
1997-04-11,11,24.8,24.4,1997,1950
1959-04-12,12,25.2,25.2,1959,1995
2017-04-13,13,27.6,26.2,2017,1955
1955-04-14,14,29.2,26.1,1955,2017
1970-04-15,15,26.8,26.4,1970,2014
2014-04-16,16,28.5,28,2014,1970
1970-04-17,17,30,27.5,1970,2013
1970-04-18,18,28,27.1,1970,2014
1952-04-19,19,26.8,26.6,1952,2007
1992-04-20,20,25.4,25.2,1992,1993
1998-04-21,21,25.6,25.6,1998,2007
1977-04-22,22,27.2,26.4,1977,1987
1970-04-23,23,27.4,27.3,1970,2009
1992-04-24,24,28.2,28.2,1992,2002
1998-04-25,25,28.2,28,1998,1977
2008-04-26,26,29.5,28.4,2008,1992
2010-04-27,27,29.5,27.2,2010,1994
1994-04-28,28,30.2,28.6,1994,2005
1994-04-29,29,30.6,30.5,1994,2005
2005-04-30,30,29.8,28.6,2005,1994
1994-05-01,1,31.4,29.4,1994,1995
1994-05-02,2,31.2,29.2,1994,2005
1994-05-03,3,29,28.1,1994,2008
1961-05-04,4,30.6,29.4,1961,1958
1989-05-05,5,28.6,28.6,1989,1995
1989-05-06,6,30.6,29.4,1989,1964
1958-05-07,7,30.6,30.6,1958,1964
1962-05-08,8,31.4,30.2,1962,1965
1965-05-09,9,32.2,30.8,1965,1958
2012-05-10,10,31.2,30.6,2012,1986
1965-05-11,11,33,32.6,1965,2012
1965-05-12,12,33.2,32.1,1965,2015
2015-05-13,13,32.8,31,2015,1992
1965-05-14,14,33.8,32,1965,1961
1965-05-15,15,32,31.6,1965,1964
1953-05-16,16,32,32,1953,1965
1992-05-17,17,33,32.2,1992,1986
1964-05-18,18,31.8,30.6,1964,1992
1958-05-19,19,31.6,29,1958,1974
2005-05-20,20,30.4,30.2,2005,2002
2016-05-21,21,30.7,30.2,2016,2006
1953-05-22,22,31.2,30.4,1953,2003
1953-05-23,23,34.4,32,1953,2003
1953-05-24,24,36,32.4,1953,2017
2017-05-25,25,34.6,33.5,2017,2011
2017-05-26,26,34,32.4,2017,1973
2001-05-27,27,33,33,2001,2005
2001-05-28,28,37.6,33.6,2001,2006
2001-05-29,29,36.6,33.4,2001,1996
2001-05-30,30,36.2,32.8,2001,2003
1994-05-31,31,35.8,33.3,1994,2012
2012-06-01,1,36,32.8,2012,1976
