year,total
1950,0
1951,1
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,2
1968,0
1969,0
1970,0
1971,0
1972,0
1973,1
1974,0
1975,1
1976,1
1977,0
1978,3
1979,1
1980,0
1981,0
1982,3
1983,0
1984,1
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,2
1995,0
1996,0
1997,0
1998,0
1999,1
2000,0
2001,0
2002,0
2003,0
2004,0
2005,1
2006,0
2007,0
2008,0
2009,1
2010,0
2011,0
2012,3
2013,0
2014,0
2015,2
2016,0
2017,2
2018,1
2019,0
