year,total
1950,0
1951,1
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,2
1966,0
1967,1
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,2
1979,0
1980,0
1981,0
1982,2
1983,1
1984,0
1985,0
1986,0
1987,3
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,1
1995,1
1996,0
1997,0
1998,0
1999,0
2000,0
2001,2
2002,0
2003,0
2004,0
2005,1
2006,0
2007,0
2008,0
2009,1
2010,2
2011,1
2012,6
2013,0
2014,0
2015,3
2016,1
2017,1
2018,0
2019,4
