year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,1
1988,0
1989,2
1990,7
1991,0
1992,0
1993,1
1994,0
1995,1
1996,0
1997,0
1998,2
1999,0
2000,0
2001,1
2002,0
2003,5
2004,0
2005,1
2006,3
2007,0
2008,0
2009,0
2010,1
2011,1
2012,0
2013,3
2014,1
2015,1
2016,4
2017,1
2018,4
2019,0
