fecha,maxima,minima,tmedia
1950-11-01,23,12.6,17.8
1951-11-01,23.5,11.5,17.5
1952-11-01,24.4,11.4,17.9
1953-11-01,19.6,11,15.3
1954-11-01,19,10.6,14.8
1955-11-01,19.3,12.5,15.9
1956-11-01,17.4,6.2,11.8
1957-11-01,25.4,12,18.7
1958-11-01,23.6,11.4,17.5
1959-11-01,25,11.8,18.4
1960-11-01,19.1,15.9,17.5
1961-11-01,22.9,11.5,17.2
1962-11-01,22.6,11,16.8
1963-11-01,20.4,13.2,16.8
1964-11-01,24.2,11.6,17.9
1965-11-01,26,14.8,20.4
1966-11-01,19.2,5.6,12.4
1967-11-01,22.6,13.2,17.9
1968-11-01,20,13,16.5
1969-11-01,25.8,11.8,18.8
1970-11-01,26.6,12.6,19.6
1971-11-01,22.6,14.4,18.5
1972-11-01,19.6,10.4,15
1973-11-01,23.2,12,17.6
1974-11-01,23,5.2,14.1
1975-11-01,20.2,13.6,16.9
1976-11-01,18.6,10,14.3
1977-11-01,24,15.4,19.7
1978-11-01,24.4,13.8,19.1
1979-11-01,22,12,17
1980-11-01,21.6,14,17.8
1981-11-01,25.6,12.8,19.2
1982-11-01,24.6,13,18.8
1983-11-01,25,14.6,19.8
1985-11-01,23.2,12,17.6
1986-11-01,23.6,11.4,17.5
1987-11-01,22.2,12,17.1
1988-11-01,22,12.8,17.4
1989-11-01,24,13,18.5
1990-11-01,22,8.8,15.4
1991-11-01,21.8,9.4,15.6
1992-11-01,18.4,6,12.2
1993-11-01,19.8,16.6,18.2
1994-11-01,23.6,11.4,17.5
1995-11-01,25.8,19.2,22.5
1996-11-01,26.2,11.6,18.9
1997-11-01,22,12.6,17.3
1998-11-01,24,10,17
1999-11-01,23.2,12.2,17.7
2000-11-01,20.5,7.8,14.2
2001-11-01,27.2,13.2,20.2
2002-11-01,24.5,13.2,18.8
2003-11-01,20,11.2,15.6
2004-11-01,21.2,10.2,15.7
2005-11-01,24.6,12,18.3
2006-11-01,26,14.6,20.3
2007-11-01,22.6,9,15.8
2008-11-01,17.8,6.6,12.2
2009-11-01,28.4,16,22.2
2010-11-01,21,11.4,16.2
2011-11-01,23.2,15.8,19.5
2012-11-01,21,13.6,17.3
2013-11-01,23.3,8.1,15.7
2014-11-01,25.8,12.9,19.4
2015-11-01,21.7,15.3,18.5
2016-11-01,25.8,15,20.4
2017-11-01,24.6,11.8,18.2
2018-11-01,18.8,8.1,13.4
1950-11-02,26.3,12.5,19.4
1951-11-02,22,10,16
1952-11-02,23.4,11,17.2
1953-11-02,19.6,12.6,16.1
1954-11-02,21.8,15.2,18.5
1955-11-02,19,8,13.5
1956-11-02,18.4,5.4,11.9
1957-11-02,20,9.6,14.8
1958-11-02,25.4,12.6,19
1959-11-02,25,11,18
1960-11-02,20.2,13.2,16.7
1961-11-02,24.3,12.3,18.3
1962-11-02,22.3,10.3,16.3
1963-11-02,20,15,17.5
1964-11-02,23.8,14.2,19
1965-11-02,21.6,15,18.3
1966-11-02,22,5.8,13.9
1967-11-02,21.6,12.2,16.9
1968-11-02,17,12,14.5
1969-11-02,24.2,11,17.6
1970-11-02,29,13,21
1971-11-02,25.4,13.8,19.6
1972-11-02,16.2,10,13.1
1973-11-02,22,15,18.5
1974-11-02,21,9.8,15.4
1975-11-02,21.8,11.8,16.8
1976-11-02,19.6,12.4,16
1977-11-02,24,12.8,18.4
1978-11-02,25,12.8,18.9
1979-11-02,26,13.6,19.8
1980-11-02,19.2,14,16.6
1981-11-02,24.4,12.4,18.4
1982-11-02,24.4,16.6,20.5
1983-11-02,17.4,13.8,15.6
1985-11-02,22.6,11.8,17.2
1986-11-02,23.2,11.8,17.5
1987-11-02,18.4,15.8,17.1
1988-11-02,22.6,16.2,19.4
1989-11-02,22.4,11.8,17.1
1990-11-02,20.6,9.2,14.9
1991-11-02,23.2,9.6,16.4
1992-11-02,20.7,6.2,13.4
1993-11-02,19.4,15.4,17.4
