fecha,maxima,minima,tmedia
1956-11-01,2.3,-2.2,0
1957-11-01,13.8,5.5,9.6
1958-11-01,10.3,2.9,6.6
1959-11-01,12,3.4,7.7
1961-11-01,12.2,2.5,7.4
1962-11-01,12,2.8,7.4
1963-11-01,9.4,2.6,6
1964-11-01,13.2,4.6,8.9
1965-11-01,17.2,6,11.6
1966-11-01,6.5,-4,1.2
1967-11-01,14,6.8,10.4
1968-11-01,9,5.5,7.2
1969-11-01,17.7,2,9.8
1970-11-01,19.3,7.5,13.4
1971-11-01,16.8,3.6,10.2
1972-11-01,7.6,3.5,5.6
1973-11-01,15.2,8.3,11.8
1974-11-01,11.6,-2,4.8
1975-11-01,9,3.6,6.3
1976-11-01,8.1,2.3,5.2
1977-11-01,13.5,5.5,9.5
1978-11-01,16.7,2.3,9.5
1979-11-01,15.8,4.2,10
1980-11-01,18.3,11.2,14.8
1981-11-01,18.5,7.1,12.8
1983-11-01,15.2,-3.6,5.8
1984-11-01,13.8,8.6,11.2
1985-11-01,13.6,0.2,6.9
1986-11-01,16.6,1.2,8.9
1987-11-01,14.8,9.2,12
1988-11-01,15,2.6,8.8
1989-11-01,19.8,6.2,13
1990-11-01,10.6,3.2,6.9
1991-11-01,16.5,7,11.8
1992-11-01,5.8,-2,1.9
1993-11-01,11.4,8.8,10.1
1994-11-01,16.4,2.6,9.5
1995-11-01,17.8,10.4,14.1
1996-11-01,19.4,-1.8,8.8
1997-11-01,13.6,4.4,9
1998-11-01,13.4,6.2,9.8
1999-11-01,17.4,10,13.7
2000-11-01,10.8,1.6,6.2
2001-11-01,13.2,3.4,8.3
2002-11-01,13.8,4.8,9.3
2003-11-01,10.6,3.8,7.2
2004-11-01,10.8,1.8,6.3
2005-11-01,14.2,5.2,9.7
2006-11-01,19.8,8.4,14.1
2007-11-01,14.2,-2.6,5.8
2008-11-01,9.8,1.4,5.6
2009-11-01,22.4,9.6,16
2010-11-01,12.6,5.6,9.1
2011-11-01,17.2,10.6,13.9
2012-11-01,13.4,4.9,9.2
2013-11-01,15.9,0.8,8.4
2014-11-01,21.5,7.6,14.6
2015-11-01,13.2,10.3,11.8
2016-11-01,19.6,6.8,13.2
2017-11-01,16.4,5.8,11.1
2018-11-01,11.4,2.5,7
1956-11-02,3.9,-1.1,1.4
1957-11-02,7.3,5.6,6.4
1958-11-02,16.5,0.1,8.3
1959-11-02,13.4,3.4,8.4
1961-11-02,14.3,6.5,10.4
1962-11-02,10.4,3.4,6.9
1963-11-02,7.7,3.4,5.6
1964-11-02,14.5,7.4,11
1965-11-02,15.2,7.6,11.4
1966-11-02,3.9,-1.5,1.2
1967-11-02,11.3,3,7.2
1968-11-02,5.6,1.5,3.6
1969-11-02,18.3,2.4,10.4
1970-11-02,20.6,5,12.8
1971-11-02,13,7.4,10.2
1972-11-02,8.7,5.2,7
1973-11-02,15,9.2,12.1
1974-11-02,12.6,-0.6,6
1975-11-02,7.4,4.1,5.8
1976-11-02,9.7,5.7,7.7
1977-11-02,21.9,2.4,12.2
1978-11-02,15.2,1.8,8.5
1979-11-02,12.2,5.3,8.8
1980-11-02,12,8.3,10.2
1981-11-02,19.8,2.6,11.2
1983-11-02,15.8,-1.4,7.2
1984-11-02,10,0,5
1985-11-02,13.4,4,8.7
1986-11-02,13,-0.8,6.1
1987-11-02,18,4,11
