fecha,maxima,minima,tmedia
1950-11-01,24,12.8,18.4
1951-11-01,21,11.4,16.2
1952-11-01,25,14.2,19.6
1953-11-01,23.4,13,18.2
1954-11-01,19.8,18,18.9
1955-11-01,21,14.2,17.6
1956-11-01,20.4,9.6,15
1957-11-01,21.8,13.8,17.8
1958-11-01,20.2,13.8,17
1959-11-01,23.6,14.6,19.1
1960-11-01,23,12.2,17.6
1962-11-01,22.6,15,18.8
1963-11-01,20,12,16
1964-11-01,20,15.4,17.7
1965-11-01,22,14,18
1966-11-01,17,5.2,11.1
1967-11-01,24,15.4,19.7
1968-11-01,18,14,16
1969-11-01,20.6,10.4,15.5
1970-11-01,22.4,12.4,17.4
1971-11-01,21.6,16.8,19.2
1972-11-01,20.6,9.6,15.1
1973-11-01,21.8,11,16.4
1974-11-01,19.6,5,12.3
1975-11-01,22.4,15.4,18.9
1976-11-01,21,7.2,14.1
1977-11-01,26.2,17.4,21.8
1978-11-01,20.6,12.4,16.5
1979-11-01,20.4,9.8,15.1
1980-11-01,21.2,11,16.1
1981-11-01,21.8,10.8,16.3
1982-11-01,23.2,10.8,17
1983-11-01,23.4,15.6,19.5
1984-11-01,21,14.2,17.6
1985-11-01,24.4,12.4,18.4
1986-11-01,22.6,14.8,18.7
1987-11-01,22,12,17
1988-11-01,21.4,12.4,16.9
1989-11-01,23.2,11.4,17.3
1990-11-01,23.4,11.4,17.4
1991-11-01,20.4,11.6,16
1992-11-01,17.6,8.6,13.1
1993-11-01,18.2,16,17.1
1994-11-01,25.4,13.6,19.5
1995-11-01,24,16.8,20.4
1996-11-01,21,13.2,17.1
1997-11-01,22,13.4,17.7
1998-11-01,24.4,12.8,18.6
1999-11-01,23,11.2,17.1
2000-11-01,21.4,10.2,15.8
2001-11-01,23.4,13,18.2
2002-11-01,25,15,20
2003-11-01,20.2,10.8,15.5
2004-11-01,22.6,11.2,16.9
2005-11-01,21.6,13,17.3
2006-11-01,30,15.2,22.6
2007-11-01,21,10,15.5
2008-11-01,15,12.4,13.7
2009-11-01,23,16.8,19.9
2010-11-01,20.2,12,16.1
2011-11-01,22.4,14,18.2
2012-11-01,23.4,15.6,19.5
2013-11-01,22.6,9.4,16
2014-11-01,24.5,15.1,19.8
2015-11-01,23.6,15.2,19.4
2016-11-01,23.9,16.4,20.2
2017-11-01,23.7,15.5,19.6
2018-11-01,19.5,10.6,15
1950-11-02,21.4,13.6,17.5
1951-11-02,21,10.6,15.8
1952-11-02,23.4,11.4,17.4
1953-11-02,22.4,15,18.7
1954-11-02,22.2,17.6,19.9
1955-11-02,21,9.6,15.3
1956-11-02,20.4,9,14.7
1957-11-02,24.2,12.2,18.2
1958-11-02,23,16.2,19.6
1959-11-02,19.2,11,15.1
1960-11-02,21.6,14.4,18
1962-11-02,22,11,16.5
1963-11-02,20,15,17.5
1964-11-02,19,13,16
1965-11-02,23,13,18
1966-11-02,20,6.4,13.2
1967-11-02,23,16,19.5
1968-11-02,20,12,16
1969-11-02,21.4,13,17.2
1970-11-02,22,11,16.5
1971-11-02,21.4,13.4,17.4
1972-11-02,17.6,11,14.3
1973-11-02,22,12.4,17.2
1974-11-02,20,10.4,15.2
1975-11-02,21,14.4,17.7
1976-11-02,23,12.4,17.7
1977-11-02,23.6,13.4,18.5
1978-11-02,20.6,12.4,16.5
1979-11-02,20,13.6,16.8
1980-11-02,19.2,12.4,15.8
1981-11-02,22.6,9.6,16.1
1982-11-02,20.6,17,18.8
1983-11-02,22.2,14,18.1
1984-11-02,21.8,12.6,17.2
1985-11-02,20,13.2,16.6
1986-11-02,26.4,13,19.7
1987-11-02,21,13.5,17.2
1988-11-02,22.4,15.8,19.1
1989-11-02,25.4,11.4,18.4
1990-11-02,20.2,8.8,14.5
1991-11-02,20.6,9.4,15
1992-11-02,20.4,10.6,15.5
1993-11-02,21,14.8,17.9
1994-11-02,21.6,15.6,18.6
1995-11-02,28,14.8,21.4
1996-11-02,21,10.6,15.8
1997-11-02,20,15.2,17.6
1998-11-02,25.8,16,20.9
1999-11-02,24.6,12.2,18.4
2000-11-02,23.6,8.6,16.1
2001-11-02,21,15.8,18.4
2002-11-02,23.6,12,17.8
2003-11-02,21.6,10,15.8
2004-11-02,23.4,9.4,16.4
2005-11-02,24,10.6,17.3
2006-11-02,23.4,18.4,20.9
2007-11-02,21.8,10,15.9
2008-11-02,18.4,9.4,13.9
2009-11-02,27.2,16.4,21.8
2010-11-02,25,15.2,20.1
2011-11-02,21.2,16.2,18.7
2012-11-02,22.2,12.6,17.4
2013-11-02,22.3,9.4,15.8
2014-11-02,23.5,16,19.8
2015-11-02,20.7,14,17.4
2016-11-02,24,13.9,19
2017-11-02,22.9,17.7,20.3
2018-11-02,20.3,12.4,16.4
1950-11-03,23.6,11,17.3
1951-11-03,23.6,9.4,16.5
1952-11-03,22.2,9.4,15.8
1953-11-03,21.4,13,17.2
1954-11-03,23,16.6,19.8
1955-11-03,19.6,12.2,15.9
1956-11-03,24,11.6,17.8
1957-11-03,22,12.2,17.1
1958-11-03,20.4,15.8,18.1
1959-11-03,27,9.4,18.2
1960-11-03,22.6,12.8,17.7
1962-11-03,16,13,14.5
1963-11-03,19,14,16.5
1964-11-03,17,15,16
1965-11-03,21.8,14,17.9
1966-11-03,17.6,11.6,14.6
1967-11-03,21,14,17.5
1968-11-03,18.6,9,13.8
1969-11-03,21.2,13.8,17.5
1970-11-03,22,9.8,15.9
1971-11-03,22,13,17.5
