fecha,maxima,minima,tmedia
1950-11-01,19.6,10.6,15.1
1951-11-01,15,5.6,10.3
1952-11-01,16.4,9.4,12.9
1953-11-01,13.8,6.8,10.3
1954-11-01,21.5,5,13.2
1955-11-01,13.2,10.4,11.8
1956-11-01,10,3.2,6.6
1957-11-01,19.7,6.5,13.1
1958-11-01,15.8,7.4,11.6
1959-11-01,19.8,5,12.4
1960-11-01,16.2,12,14.1
1961-11-01,16.8,6.2,11.5
1962-11-01,16.2,7,11.6
1963-11-01,14.9,8.3,11.6
1964-11-01,18.7,6.7,12.7
1965-11-01,21,10.2,15.6
1966-11-01,12.6,0.6,6.6
1967-11-01,18.4,10,14.2
1968-11-01,13.8,9.6,11.7
1969-11-01,21.5,3.9,12.7
1970-11-01,22.4,7,14.7
1971-11-01,20.1,5.7,12.9
1972-11-01,12.6,8,10.3
1973-11-01,21.1,10.5,15.8
1974-11-01,15.1,0.9,8
1975-11-01,15.4,9.2,12.3
1976-11-01,11.4,6.8,9.1
1977-11-01,19.4,11.2,15.3
1978-11-01,20.4,5.2,12.8
1979-11-01,18.4,5.4,11.9
1980-11-01,21.6,8,14.8
1981-11-01,23.7,6.9,15.3
1983-11-01,19.3,1.3,10.3
1984-11-01,18.6,11.4,15
1985-11-01,19,8,13.5
1986-11-01,21,3.4,12.2
1987-11-01,18.6,7.4,13
1988-11-01,19.8,7,13.4
1989-11-01,25.6,6,15.8
1990-11-01,16.6,5.8,11.2
1991-11-01,22.9,6.8,14.8
1992-11-01,13.2,2.7,8
1993-11-01,18.2,11.5,14.8
1994-11-01,22.2,5.9,14
1995-11-01,23.3,10.5,16.9
1996-11-01,22.8,1.1,12
1997-11-01,20.1,7.5,13.8
1998-11-01,20.8,7.5,14.2
1999-11-01,21.9,8.2,15
2000-11-01,15.9,4,10
2001-11-01,21.2,8.9,15
2002-11-01,18.7,6,12.4
2003-11-01,16.6,7.2,11.9
2004-11-01,16.6,4,10.3
2005-11-01,19,10.1,14.6
2006-11-01,22.4,12,17.2
2007-11-01,18.9,1.8,10.4
2008-11-01,13.1,5.6,9.4
2009-11-01,25.4,13.3,19.4
2010-11-01,18.5,8.9,13.7
2011-11-01,22.4,13.1,17.8
2012-11-01,16.7,6,11.4
2013-11-01,17.8,3.1,10.4
2014-11-01,23.9,8.5,16.2
2015-11-01,18.8,12.1,15.4
2016-11-01,22,10.3,16.2
2017-11-01,22.6,7.9,15.2
2018-11-01,17,4.7,10.8
1950-11-02,19.6,6.8,13.2
1951-11-02,16,5.6,10.8
1952-11-02,17.4,5,11.2
1953-11-02,14.2,9.2,11.7
1954-11-02,21.6,10.4,16
1955-11-02,14,8.5,11.2
1956-11-02,11,0.9,6
1957-11-02,16,8.3,12.2
1958-11-02,14.3,4.4,9.4
1959-11-02,18.8,5.9,12.4
1960-11-02,15.6,9.4,12.5
1961-11-02,16.8,10,13.4
1962-11-02,15.9,4.7,10.3
1963-11-02,11.9,8.1,10
1964-11-02,17.6,6,11.8
1965-11-02,19.2,11.6,15.4
1966-11-02,11.6,3,7.3
1967-11-02,15.6,10.2,12.9
1968-11-02,12.2,7.8,10
1969-11-02,19.6,4.4,12
1970-11-02,23.7,7.5,15.6
1971-11-02,18.8,7.6,13.2
1972-11-02,15.7,9.1,12.4
1973-11-02,21.4,12,16.7
1974-11-02,15.4,2,8.7
1975-11-02,14.8,8.4,11.6
1976-11-02,15.4,9.6,12.5
1977-11-02,20.7,7.9,14.3
1978-11-02,19.4,6.2,12.8
1979-11-02,19.4,8.2,13.8
1980-11-02,17.4,6.4,11.9
1981-11-02,23.3,4.4,13.8
1983-11-02,20.5,1.3,10.9
1984-11-02,14.5,7.1,10.8
1985-11-02,13.2,7.6,10.4
1986-11-02,21,7,14
1987-11-02,19.2,8,13.6
1988-11-02,17.5,13.3,15.4
1989-11-02,21,12.7,16.8
1990-11-02,16.6,5,10.8
1991-11-02,21.6,7.4,14.5
1992-11-02,16.8,3,9.9
1993-11-02,17.2,11.5,14.4
1994-11-02,20.6,9.5,15
1995-11-02,22.5,12.5,17.5
1996-11-02,24.9,3.8,14.4
1997-11-02,12.8,9,10.9
1998-11-02,19.4,12.3,15.8
1999-11-02,17.6,9,13.3
2000-11-02,13.1,9.3,11.2
2001-11-02,19.4,7,13.2
2002-11-02,17.2,11.7,14.4
2003-11-02,15.3,5.4,10.4
2004-11-02,16.8,5.2,11
2005-11-02,20.6,8,14.3
2006-11-02,18.9,12.2,15.6
2007-11-02,20.7,3.1,11.9
2008-11-02,14.2,7.6,10.9
2009-11-02,18.5,11.2,14.8
2010-11-02,20,8.1,14
2011-11-02,19.6,13.4,16.5
2012-11-02,17.1,11.1,14.1
2013-11-02,19.6,8.2,13.9
2014-11-02,21.8,7.6,14.7
2015-11-02,16.6,11.1,13.8
2016-11-02,24.3,8.2,16.2
2017-11-02,21.7,10.6,16.2
2018-11-02,20.3,9.5,14.9
1950-11-03,20.6,6.6,13.6
1951-11-03,16.6,8.4,12.5
1952-11-03,18.4,3.6,11
1953-11-03,17.4,7.6,12.5
1954-11-03,20.8,9.8,15.3
1955-11-03,16.3,9.8,13
1956-11-03,16.2,3.4,9.8
1957-11-03,14.9,6,10.4
1958-11-03,16.8,3.6,10.2
1959-11-03,17.3,5.2,11.2
1960-11-03,15.6,7.2,11.4
1961-11-03,19.1,11.9,15.5
1962-11-03,12.5,8.1,10.3
1963-11-03,15.6,10.4,13
1964-11-03,14.1,3.5,8.8
1965-11-03,13,11.5,12.2
1966-11-03,10.1,-1.1,4.5
1967-11-03,15,5.4,10.2
1968-11-03,13.6,5.2,9.4
1969-11-03,19.8,4.2,12
1970-11-03,22.6,5.2,13.9
1971-11-03,19.1,6.3,12.7
1972-11-03,12,8.8,10.4
1973-11-03,14.9,12.5,13.7
1974-11-03,17.6,4,10.8
1975-11-03,18.1,9.5,13.8
1976-11-03,13.1,7.1,10.1
1977-11-03,19.1,7.9,13.5
1978-11-03,17.8,6.8,12.3
1979-11-03,19,5.8,12.4
1980-11-03,15.1,9.1,12.1
1981-11-03,23,4.2,13.6
1983-11-03,14.2,9.2,11.7
1984-11-03,14.8,2.8,8.8
1985-11-03,15.6,9.4,12.5
1986-11-03,19.8,4.4,12.1
1987-11-03,17.6,13.6,15.6
1988-11-03,19.4,11,15.2
1989-11-03,16.6,8.2,12.4
1990-11-03,15.4,4.8,10.1
1991-11-03,21.2,12.5,16.8
1992-11-03,19.8,9.4,14.6
1993-11-03,15,9,12
1994-11-03,17.9,8.8,13.4
1995-11-03,23.9,11,17.4
1996-11-03,24.4,4.3,14.4
1997-11-03,20.4,12.7,16.6
1998-11-03,18.3,13.9,16.1
1999-11-03,16.6,4.8,10.7
2000-11-03,14.1,6.6,10.4
2001-11-03,18,7,12.5
2002-11-03,21,13.6,17.3
2003-11-03,13.1,4.5,8.8
2004-11-03,15,7.6,11.3
2005-11-03,18.4,8.1,13.2
2006-11-03,15.7,12.7,14.2
2007-11-03,20.1,5,12.6
2008-11-03,14.1,4,9
2009-11-03,20.1,7,13.6
2010-11-03,21.9,6.1,14
2011-11-03,17.9,9.9,13.9
2012-11-03,14,10.3,12.2
2013-11-03,20.1,10.4,15.2
2014-11-03,18.1,10.2,14.2
2015-11-03,16.3,10.6,13.4
2016-11-03,23.2,8.4,15.8
2017-11-03,21.1,12.8,17
2018-11-03,20,5.5,12.8
1950-11-04,21.8,7.6,14.7
1951-11-04,12,8.6,10.3
1952-11-04,16.4,4.2,10.3
1953-11-04,18.4,8.4,13.4
1954-11-04,22.6,8,15.3
1955-11-04,19,9,14
1956-11-04,14,2.4,8.2
1957-11-04,15.4,11.5,13.4
1958-11-04,20.5,5.8,13.2
1959-11-04,15.1,7.7,11.4
1960-11-04,14.6,7.8,11.2
1961-11-04,16.4,9.5,13
1962-11-04,13.8,9.2,11.5
1963-11-04,15.1,10.9,13
1964-11-04,11.4,9.2,10.3
1965-11-04,10.8,6.8,8.8
1966-11-04,10.9,2.1,6.5
1967-11-04,15.6,9.4,12.5
1968-11-04,13.9,2.9,8.4
1969-11-04,17.3,3.1,10.2
1970-11-04,25.1,4,14.6
1971-11-04,18.7,5.3,12
1972-11-04,13.8,7.4,10.6
1973-11-04,16.5,10.1,13.3
1974-11-04,16.1,2.9,9.5
1975-11-04,19,9,14
1976-11-04,16.5,11.9,14.2
1977-11-04,15.9,12.1,14
1978-11-04,17.6,5.4,11.5
1979-11-04,19.8,7,13.4
1980-11-04,12.5,5.3,8.9
1981-11-04,23.3,6.7,15
1983-11-04,15,11,13
1984-11-04,11.4,3.8,7.6
1985-11-04,16,13,14.5
1986-11-04,19.2,1,10.1
1987-11-04,14.6,12.6,13.6
1988-11-04,20.3,12.3,16.3
1989-11-04,17.1,2.4,9.8
1990-11-04,13.8,1.5,7.6
