year,total
1950,3
1951,1
1952,1
1953,2
1954,1
1955,1
1956,0
1957,1
1958,1
1959,1
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,1
1967,0
1968,0
1969,0
1970,2
1971,0
1972,0
1973,0
1974,0
1975,0
1976,1
1977,0
1978,1
1979,0
1980,1
1981,0
1982,1
1983,2
1984,0
1985,2
1986,0
1987,0
1988,1
1989,1
1990,0
1991,2
1992,0
1993,0
1994,3
1995,0
1996,0
1997,0
1998,0
1999,0
2000,1
2001,1
2002,0
2003,1
2004,0
2005,2
2006,4
2007,0
2008,2
2009,2
2010,0
2011,0
2012,2
2013,0
2014,1
2015,1
2016,2
2017,1
2018,0
2019,0
