year,total
1950,2
1951,0
1952,1
1953,0
1954,0
1955,0
1956,0
1957,0
1958,1
1959,0
1960,0
1961,0
1962,1
1963,0
1964,1
1965,0
1966,0
1967,2
1968,0
1969,0
1970,0
1971,0
1972,0
1973,1
1974,1
1975,2
1976,2
1977,0
1978,2
1979,2
1980,0
1981,0
1982,1
1983,0
1984,0
1985,2
1986,0
1987,0
1988,0
1989,0
1990,1
1991,2
1992,2
1993,0
1994,2
1995,3
1996,1
1997,0
1998,0
1999,0
2000,1
2001,0
2002,0
2003,2
2004,9
2005,0
2006,3
2007,0
2008,0
2009,1
2010,1
2011,0
2012,5
2013,0
2014,0
2015,2
2016,1
2017,2
2018,3
2019,0
