year,total
1950,3
1951,0
1952,0
1953,1
1954,1
1955,0
1956,0
1957,1
1958,0
1959,1
1960,0
1961,0
1962,1
1963,0
1964,0
1965,1
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,1
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,2
1992,0
1993,0
1994,2
1995,1
1996,0
1997,0
1998,0
1999,0
2000,0
2001,2
2002,0
2003,0
2004,0
2005,1
2006,0
2007,0
2008,0
2009,0
2010,1
2011,0
2012,1
2013,0
2014,0
2015,1
2016,2
2017,1
2018,0
2019,1
2020,0
2021,1
2022,2
2023,1
