year,total
1950,0
1951,0
1952,1
1953,0
1954,0
1955,0
1956,1
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,1
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,1
1981,0
1982,0
1983,1
1984,0
1985,0
1986,0
1987,1
1988,0
1989,2
1990,0
1991,0
1992,0
1993,0
1994,1
1995,0
1996,0
1997,0
1998,0
1999,1
2000,0
2001,0
2002,0
2003,2
2004,6
2005,0
2006,1
2007,2
2008,1
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,14
2016,0
2017,2
2018,3
2019,2
2020,4
2021,2
2022,7
2023,10
2024,0
