year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,1
1981,0
1982,1
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,1
1990,0
1991,1
1992,2
1993,0
1994,0
1995,9
1996,0
1997,0
1998,0
1999,0
2000,1
2001,0
2002,0
2003,11
2004,7
2005,0
2006,3
2007,0
2008,0
2009,2
2010,9
2011,2
2012,0
2013,0
2014,0
2015,3
2016,0
2017,0
2018,0
2019,1
2020,2
2021,0
2022,3
2023,2
2024,0
