year,total
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,1
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,1
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,3
1990,0
1991,0
1992,2
1993,3
1994,2
1995,4
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,1
2004,2
2005,0
2006,1
2007,0
2008,0
2009,0
2010,1
2011,1
2012,1
2013,0
2014,0
2015,3
2016,0
2017,0
2018,0
2019,0
2020,0
2021,1
2022,1
2023,0
2024,1
